ı
----------------------------------------
AA70327.log
detection date	time	duration	tag type	tag id	read count	empty record count	antenna num
03/27/17	10:22:27.52	upload 3 complete
03/27/17	10:24:46.33	reader parameters changed
03/27/17	10:25:00.79	reader parameters changed
03/27/17	10:25:54.97	00:00:00.51	R	0000_0000000138617641	A3	6	65534
03/27/17	10:25:57.20	00:00:00.00	R	0000_0000000138617641	A3	1	16
03/27/17	10:25:57.80	00:00:00.00	R	0000_0000000138617641	A3	1	5
03/27/17	10:26:13.57	00:00:00.00	R	0000_0000000138617641	A3	1	155
03/27/17	10:26:13.77	00:00:00.52	R	0000_0000000138617641	A3	6	1
03/27/17	10:26:33.80	00:00:00.00	R	0000_0000000174764517	A3	1	192
03/27/17	10:27:05.76	00:00:00.00	R	0000_0000000174764517	A3	1	315
03/27/17	10:27:08.89	00:00:00.00	R	0000_0000000174764517	A3	1	30
03/27/17	10:27:24.77	00:00:00.00	R	0000_0000000174764517	A3	1	156
03/27/17	10:27:24.18	00:00:00.00	R	0000_0000000174764517	A3	1	3
03/27/17	10:28:54.02	00:00:00.30	R	0000_0000000138617641	A3	4	878
03/27/17	10:28:54.52	00:00:00.52	R	0000_0000000138617641	A3	6	1
03/27/17	10:28:57.36	00:00:00.00	R	0000_0000000138617641	A3	1	22
03/27/17	10:29:02.01	00:00:00.51	R	0000_0000000138617641	A3	6	45
03/27/17	10:29:02.72	00:00:00.00	R	0000_0000000138617641	A3	1	1
03/27/17	10:29:05.15	00:00:00.90	R	0000_0000000138617641	A3	10	23
03/27/17	10:29:48.15	reader parameters changed
03/27/17	10:31:15.59	reader parameters changed
03/27/17	10:34:50.97	reader parameters changed
03/27/17	10:35:47.33	reader parameters changed
03/27/17	10:37:19.85	00:00:00.00	R	0000_0000000138617641	A3	1	1407
03/27/17	10:37:20.86	00:00:00.00	R	0000_0000000138617641	A3	1	4
03/27/17	10:37:21.87	00:00:00.00	R	0000_0000000138617641	A3	1	4
03/27/17	10:38:19.38	reader parameters changed
03/27/17	10:38:25.00	00:00:00.20	R	0000_0000000138617641	A3	3	315
03/27/17	10:38:25.50	00:00:00.10	R	0000_0000000138617641	A3	2	2
03/27/17	10:38:25.80	00:00:00.10	R	0000_0000000138617641	A3	2	1
03/27/17	10:38:25.11	00:00:00.30	R	0000_0000000138617641	A3	4	1
03/27/17	10:38:26.61	00:00:00.00	R	0000_0000000138617641	A3	1	1
03/27/17	10:38:26.81	00:00:00.62	R	0000_0000000138617641	A3	7	1
03/27/17	10:38:32.28	00:00:00.30	R	0000_0000000138617641	A3	4	47
03/27/17	10:38:35.11	00:00:00.50	R	0000_0000000138617641	A3	6	24
03/27/17	10:39:32.34	00:00:00.00	R	0000_0000000174764517	A3	1	560
03/27/17	10:39:40.27	reader parameters changed
03/27/17	10:39:44.95	00:00:00.00	R	0000_0000000138617641	A4	1	65534
03/27/17	10:39:45.16	00:00:01.72	R	0000_0000000138617641	A4	18	1
03/27/17	10:39:48.69	00:00:00.10	R	0000_0000000138617641	A4	2	7
03/27/17	10:39:48.00	00:00:01.82	R	0000_0000000138617641	A4	19	1
03/27/17	10:39:51.44	00:00:00.00	R	0000_0000000138617641	A4	1	15
03/27/17	10:39:59.39	00:00:00.31	R	0000_0000000138617641	A4	4	78
03/27/17	10:40:03.64	00:00:00.00	R	0000_0000000138617641	A4	1	38
03/27/17	10:40:05.75	00:00:00.00	R	0000_0000000138617641	A4	1	20
03/27/17	10:40:05.17	00:00:00.00	R	0000_0000000138617641	A4	1	3
03/27/17	10:42:07.42	00:00:00.30	R	0000_0000000138617641	A4	4	1204
03/27/17	10:42:07.92	23:59:59.21	R	0000_0000000138617641	A4	3	1
03/27/17	10:42:07.33	00:00:01.51	R	0000_0000000138617641	A4	6	1
03/27/17	10:47:22.01	reader parameters changed
03/27/17	13:41:40.13	00:00:00.00	R	0000_0000000174764517	A3	1	51908
03/27/17	18:51:05.13	00:00:00.00	R	0000_0000000174764517	A3	1	65534
03/27/17	21:54:30.23	00:00:00.00	R	0256_1125969069519333	A3	1	54542
03/28/17	06:20:38.58	00:00:00.00	R	0000_0000000174764517	A3	1	65534
03/28/17	14:48:43.11	00:00:00.00	R	0000_0000000174764517	A3	1	65534
03/28/17	17:20:20.53	00:00:00.00	R	0000_0000000174764517	A3	1	45079
03/28/17	17:47:44.78	00:00:00.00	R	0000_0000000174764517	A3	1	8145
03/28/17	18:41:39.23	00:00:00.00	R	0000_0000000174764517	A3	1	16027
03/28/17	21:55:53.64	00:00:00.00	R	0000_0000000174764517	A3	1	57745
03/28/17	21:56:03.93	00:00:00.00	R	0000_0000000174764517	A3	1	50
03/28/17	22:02:37.75	00:00:00.00	R	0000_0000000174764517	A3	1	1950
03/29/17	00:02:52.59	00:00:00.00	R	0000_0000000174764517	A3	1	35750
03/29/17	01:12:40.44	00:00:00.00	R	0000_0000000174764517	A3	1	20745
03/29/17	01:36:23.84	00:00:00.00	R	0000_0000000174764517	A3	1	7050
03/29/17	02:30:18.29	00:00:00.00	R	0000_0000000174764517	A3	1	16021
03/29/17	03:39:27.01	00:00:00.00	R	0000_0000000174764517	A3	1	20556
03/29/17	04:40:07.13	00:00:00.00	R	0000_0000000174764517	A3	1	18031
03/29/17	05:52:47.42	00:00:00.00	R	0000_0000000174764517	A3	1	21601
03/29/17	10:06:44.80	00:00:00.00	R	0000_0000000174764517	A3	1	65534
03/29/17	14:24:19.41	00:00:00.00	R	0000_0000000174764517	A3	1	65534
03/29/17	20:57:21.06	00:00:00.00	R	0000_0000000174764517	A3	1	65534
03/29/17	21:05:03.34	00:00:00.00	R	0000_0000000174764517	A3	1	2290
03/29/17	21:39:32.81	00:00:00.00	R	0000_0000000174764517	A3	1	10254
03/30/17	03:53:54.29	00:00:00.00	R	0000_0000000174764517	A3	1	65534
03/30/17	07:45:56.06	00:00:00.00	R	0256_1125969069519333	A3	1	65534
03/30/17	11:15:48.22	00:00:00.00	R	0000_0000000174764517	A3	1	62401
03/30/17	12:29:59.13	00:00:00.00	R	0000_0000000174764517	A3	1	22053
03/30/17	13:44:24.96	00:00:00.00	R	0000_0000000174764517	A3	1	22127
03/30/17	14:26:54.22	00:00:00.00	R	0000_0000000174764517	A3	1	12630
03/30/17	16:49:27.51	00:00:00.00	R	0000_0000000174764517	A3	1	42382
03/30/17	18:01:46.70	00:00:00.00	R	0000_0000000174764517	A3	1	21499
03/30/17	22:37:36.29	00:00:00.00	R	0000_0000000174764517	A3	1	65534
03/31/17	05:15:27.29	00:00:00.00	R	0000_0000000174764517	A3	1	65534
03/31/17	11:13:50.73	00:00:00.00	R	0000_0000000174764517	A3	1	65534
03/31/17	11:31:42.02	00:00:00.00	R	0000_0000000174764517	A3	1	5307
03/31/17	13:56:41.52	00:00:00.00	R	0000_0000000174764517	A3	1	43107
04/01/17	11:39:18.51	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/01/17	12:12:31.28	00:00:00.00	R	0000_0000000174764517	A3	1	9873
04/01/17	20:51:06.41	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/01/17	21:49:35.76	00:00:00.00	R	0000_0000000174764517	A3	1	17390
04/02/17	03:43:52.11	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/02/17	08:48:27.29	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/02/17	14:59:29.01	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/02/17	23:37:07.54	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/03/17	02:27:03.55	00:00:00.00	R	0000_0000000174764517	A3	1	50531
04/03/17	10:35:56.49	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/03/17	16:05:57.50	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/03/17	19:19:50.74	00:00:00.00	R	0256_1125969069519333	A3	1	57633
04/03/17	20:14:44.97	00:00:00.00	R	0000_0000000174764517	A3	1	16312
04/03/17	21:18:09.78	00:00:00.00	A	982_000362724188	A4	1	65534
04/03/17	23:08:28.00	00:00:00.00	R	0000_0000000174764517	A3	1	51600
04/03/17	23:24:19.34	00:00:00.00	R	0000_0000000174764517	A3	1	4713
04/04/17	01:44:50.12	00:00:00.00	R	0000_0000000174764517	A3	1	41771
04/04/17	01:57:15.53	00:00:00.00	R	0000_0000000174764517	A3	1	3692
04/04/17	04:58:29.00	00:00:00.00	R	0000_0000000174764517	A3	1	53872
04/04/17	07:04:15.36	00:00:00.00	R	0000_0000000174764517	A3	1	37389
04/05/17	02:46:42.16	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/05/17	04:22:41.15	00:00:00.00	R	0000_0000000174764517	A3	1	28537
04/05/17	04:57:21.43	00:00:00.00	R	0000_0000000174764517	A3	1	10307
04/05/17	16:01:20.28	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/06/17	04:31:32.80	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/06/17	05:45:31.36	00:00:00.00	R	0000_0000000174764517	A3	1	21986
